Unnamed: 0,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
3722,5226825,10071,retweet,9b08c72a60eea7628aba17caab3fda940fad499848d14587a06de27e1595e845,"RT @GordianKnotRay 26 March 2023 - ~15 probable #China maritime militia and/or fishing ships visible in Iroquois Reef, which is in the #Philippines exclusive economic zone and ~125nm from the Palawan coast. Image: @planet #southchinasea https://t.co/nJuaB0ZHPM",,1679992424,Twitter,,125nm 15 china coast economic exclusive fishing image iroquois march maritime militia palawan probable reef rt ships visible zone,19,us_military,,10,49,opposing,,0
3622,2138728,235842,tweet,,U.S. Navy Drills in South China Sea as Beijing Justifies Laser Attack https://t.co/fxvZjpQ56F via @BreitbartNews,,1676439769,Twitter,,attack beijing china drills justifies laser navy sea south,9,us_military,,14,6,opposing,,0
81,3981104,22654,retweet,164b329fff23bbbb3f80ce7eea46b5543841d19b82094a0ab5f3b498e9b887ec,"RT @IndoPac_Info #Chinese Warship, CG Cutter & 42 militia ships Violate Pag-asa Island 12 mile territorial Sea: Philippine Coast Guard The #PLAN ship & CCG 5203 were slowly loitering near Pag-asa Island at a distance of 8 nautical miles & 4 nautical miles respectively. https://t.co/1z4ibDCVfB",,1678193073,Twitter,,asa asa ccg cg coast cutter distance guard island island loitering mile miles miles militia nautical nautical pag pag philippine plan rt sea ship ships slowly territorial violate warship,29,us_military,,16,23,supportive,,0
2545,2536133,1815,retweet,f47571a80e1631e1b97d861fd6110a56e3b4aefe5c13559b5bd099a30ae3d561,"RT @manilabulletin President Ferdinand “Bongbong” Marcos Jr. is not in favor of the idea that he should appoint someone from the military or police to lead the Department of Agriculture, underscoring that the DA head should be an expert in the field of agriculture. READ: https://t.co/n9lhc0NyRT https://t.co/Wb3hEiTJqb",,1674293127,Twitter,,agriculture agriculture appoint bongbong da department expert favor ferdinand field head idea jr lead marcos military police president read rt underscoring,21,us_military,,17,50,neutral,,0
833,6638983,114909,retweet,7543a2a065517227e72afc98baeaabed45ca89bbfbc76ef1bb7eee5eb6cf8e01,"RT @dobahi China Accuses US of Raising Regional Tensions in South China Sea. 📍The US continues to strengthen its military deployment in the South China Sea and is deliberately pushing up regional tensions, China's defense ministry spokesperson said on Thursday. https://t.co/azhVDOGQx1",,1682614861,Twitter,,accuses china china china china continues defense deliberately deployment military ministry pushing raising regional regional rt sea sea south south spokesperson strengthen tensions tensions thursday,25,us_military,,14,20,opposing,,0
4183,5650287,3016,retweet,0bf99d523d2972ea59cda290368212cd68de60d0ade45eb570e8e892214c8596,"RT ŠPTVph TINAN: The Philippine Military Academy (PMA) Class of 2023 in Fort General Gregory Del Pilar, Baguio City this Sunday morning, May 21. (1/3) hops:/t.co/OL0Cna5G",,1684693785,Twitter,,21 academy baguio city class del fort general gregory hops military morning ol0cna5g philippine pilar pma rt sunday tinan šptvph,20,us_military,,12,95,neutral,,0
2271,6410474,27651,retweet,f8c09002f37ddf9179d007fb64acf94391563bf5cd88f3b1f42cbdc6001b079a,"RT @IndoPac_Info 2) ""US forces can't get there quickly."" ""It's basically submarines and US aircraft that are going to be operating from the southwest islands of Japan and eventually from bases in the northern Philippines,"" said the political scientist.",,1681836800,Twitter,,aircraft bases basically eventually forces islands japan northern operating philippines political quickly rt scientist southwest submarines,16,us_military,,16,33,supportive,,0
1178,5420654,606435,retweet,14bee4573208f907a3b13b3223c09e676eb17c7b2a8ee3044d901233edb3cc1a,"RT @gc22gc 17,000 American and Filipino Airmen,Sailors,Soldiers in largest ever joint combat exercise in South China Sea… Display is direct challenge to CCP/PLA… https://t.co/mmB1SSSb0i https://t.co/nkeWDHcShX",,1681307136,Twitter,,000 17 airmen american ccp challenge china combat direct display exercise filipino joint largest pla rt sailors sea soldiers south,20,us_military,,19,7,supportive,,0
178,7140914,12627,retweet,295ccf1a0f9ab5604543bf67d2f107d3b186dac7242abdfb740dbdf332f85074,RT @medeabenjamin Yes. Why is this U.S. military plane in the south CHINA sea? That is the relevant question.,,1677541743,Twitter,,china military plane question relevant rt sea south,8,us_military,,72,46,neutral,,0
1511,1441104,150766,retweet,8f5ebff854fc4a06c08ee2971d14c1c0313cd96c0f196e773d364c6e64cb2060,RT @US7thFleet Sailors participate in a live-fire exercise aboard the aircraft carrier USS Nimitz (CVN 68) while underway in the Philippine Sea. #HandsOnTraining | #SafeOpsareEffectiveOps | #NimitzNews https://t.co/MH24QHcd4S,,1684318479,Twitter,,68 aboard aircraft carrier cvn exercise fire live nimitz participate philippine rt sailors sea underway uss,16,us_military,,16,14,neutral,,0
2375,7026594,197,retweet,c42693e1aba378439086e3627c14d2ff3408b9ef844b32fd607fe507b8805a78,"RT @AaronFavila A Filipino fisherman beside Philippine Navy war ship Andres Bonifacio near Thitu or Pag-asa island at the South China Sea April 21, 2023 (AP Photo/Aaron Favila) #philippines #china #disputedislands #spratlys #fisherman #philippinenavy #warship @APNews https://t.co/0jMcYhZZ50",,1682984837,Twitter,,21 aaron andres ap april asa bonifacio china china favila filipino fisherman fisherman island navy pag philippine photo rt sea ship south thitu war warship,25,us_military,,26,54,supportive,,0
3661,5252524,425372,retweet,3fd385fe3efe3c89d91b96fc5a7413715d3ddfbb404a576b5628bccca5a7c6f1,RT @NFSC_HAGnews 'We stand ready': US Admiral vows to aid Philippine resupplies in South China Sea https://t.co/GKfR2jHxE8,,1683575998,Twitter,,admiral aid china philippine ready resupplies rt sea south stand vows,11,us_military,,73,5,supportive,,0
75,3096973,61916,retweet,5ca2a8237c285dea8e0e35ea0181f102154fe2becef64196af3ba327efc6f8cb,RT @Reuters China's military says US warship illegally entered waters in South China Sea https://t.co/KCQO9tIuqh https://t.co/HA5XyLYo3r,,1679570310,Twitter,,china china entered illegally military rt sea south warship waters,10,us_military,,46,26,opposing,,0
293,5073447,5958,retweet,2e232f1b9981669105be51d237464e6ca24e98cc60d99d8e487a597453b5bf94,RT @maracepeda LOOK: The Philippine Coast Guard says at least 26 suspected Chinese militia vessels remain near the Ayungin and Sabina Shoals with PH EEZ in the South China Sea. This is despite diplomatic protests PH filed vs China 📷 PCG @straits_times https://t.co/rmDPYbog6A,,1677121450,Twitter,,ayungin china china chinese coast diplomatic eez filed guard militia pcg ph ph philippine protests remain rt sabina sea shoals south suspected vessels,23,us_military,,25,127,supportive,,0
2508,4438392,51351,retweet,87b1f9a4f2185d5edb2ec6c124cab1fd6a483fbc9068c12d5d36983680eb13ce,RT @DavidLarter What if instead of building expensive vessels you just cultivate some maritime mercenaries from the Philippines or Malaysia or anywhere around there and put them in the South China Sea with 300 cheap jammers and cause absolute electromagnetic havoc https://t.co/qmCBOypJxP,,1677069022,Twitter,,absolute building cheap china cultivate electromagnetic expensive havoc jammers malaysia maritime mercenaries philippines put rt sea south vessels,18,us_military,,10,5,neutral,,0
1501,645653,62024,retweet,48429f546a4f6af92d4d5c94117584058cbff640540af3224cbab9e28477a4b6,RT @DeptofDefense Green Berets with @1st_SF_Command and Australian Defence Force Commandos take to the skies for a military freefall training exercise in the Philippines as part of #Balikatan23. https://t.co/1kt40bPFd1,,1682348723,Twitter,,australian berets commandos defence exercise force freefall green military part philippines rt skies training,14,us_military,,56,48,supportive,,0
341,4873423,17951,retweet,929259f5965a5af520a319fb5655e89d6ded33f4db1170ea8feb7b0916df70d9,RT @cnnphilippines BREAKING: President Ferdinand Marcos Jr. signs into law a measure that amends the code providing fixed terms for ranking officials of the Armed Forces of the Philippines. Story soon on https://t.co/Ni4v3zQWgA https://t.co/ntifpw1FQg,,1684377709,Twitter,,amends armed breaking code ferdinand fixed forces jr law marcos measure officials philippines president providing ranking rt signs story terms,20,us_military,,28,15,supportive,,0
5727,3204952,402489,tweet,,"Philippine Coast Guard (PCG) has accused a Chinese coast guard ship of directing a “military-grade” laser at one of its vessels, putting the Filipino crew in danger https://t.co/HnTFVEfR8h",,1676361282,Twitter,,accused chinese coast coast crew danger directing filipino grade guard guard laser military pcg philippine putting ship vessels,18,us_military,,65,5,supportive,,0
4193,5767370,9507,retweet,8b16d8717ad802b671411cf56ba7b92750839e375a4a574209b178aa80426623,"RT @opgovph President Ferdinand R. Marcos Jr. delivered a speech at the Philippine Military Academy (PMA) Alumni Homecoming, where he praised the institution for producing selfless individuals who have defended the country and preserved its democratic ideals.",,1676724952,Twitter,,academy alumni country defended delivered democratic ferdinand homecoming ideals individuals institution jr marcos military philippine pma praised preserved president producing rt selfless speech,23,us_military,,12,62,supportive,,0
1500,1179676,62024,retweet,accc33d49f87bb597b5b8977bdf1c5192cd7a9ac931429ed74994e9e7f1b33f7,"RT @USMC #Marines with the @Official13thMEU conduct a close quarters training range alongside Philippine Marines during Exercise Balikatan 23 in the Philippines, April 19. #Balikatan is an annual exercise between the Armed Forces of the Philippines and U.S. military. #AlliesAndPartners https://t.co/CgoDwBWMBi",,1682352649,Twitter,,19 alongside annual april armed balikatan close conduct exercise exercise forces marines marines military philippine philippines philippines quarters range rt training,21,us_military,,62,48,supportive,,0
2913,2534174,321575,retweet,b16dd64dcb66771729861fb4eb56186add676a5b683e34afa7806dc35474445c,"RT @japantimes A U.S. Navy destroyer sailed near one of the most important man-made and Chinese-controlled islands in the South China Sea on Monday, in a freedom of navigation mission that Beijing denounced as illegal. https://t.co/u7kIemIdqG",,1681229181,Twitter,,beijing china chinese controlled denounced destroyer freedom illegal important islands made man mission monday navigation navy rt sailed sea south,20,us_military,,10,17,supportive,,0
1113,4508940,184463,retweet,22455443748479b7fe6c8ccf282bd0b232a0a62289eef70979cb4263b5693a58,RT @KimCarrera007 @JulianAndrew63 We are being totally gamed this is all about giving the USA & UK bigger facilities at the Stirling navel base for maintenance etc. we may never get the submarines. I was told this by a navel commander in 2011 because the USA we concerned about losing their base in the Philippines,,1678857390,Twitter,,base base bigger commander concerned facilities gamed giving losing maintenance navel navel philippines rt stirling submarines told totally uk usa usa,21,us_military,,11,15,opposing,,0
2014,2717521,72944,retweet,fac9d364277dbf30873b8a9272eb65807a4d3b2c5b453d348d29903a71520abe,"RT @GordianKnotRay 1/The preponderance of the evidence suggests that on 6 Feb #China Coast Guard ship 5205 stopped, harassed and followed #Philippines Coast Guard BRP Malapascua near Sabina Shoal for 8+ hours, preventing it from returning to Palawan. Let me explain my reasoning. [Thread 1/7] https://t.co/BbNXvfkTfp",,1675748056,Twitter,,brp china coast coast evidence explain feb guard guard harassed hours malapascua palawan preponderance preventing reasoning returning rt sabina ship shoal stopped suggests thread,24,us_military,,67,16,opposing,,0
1551,6279104,21301,retweet,f838e5071f02f0c0be14d9231cca83c74db14079a7734b805fe4a3dfe6efbe3b,"RT @NavalInstitute Pilot Error After ‘Sierra Hotel Break’ Resulted in South China Sea F-35C Crash, Investigation Says - USNI News https://t.co/a0q5XJUhwV https://t.co/zdDwKBoLeV",,1677082885,Twitter,,35c break china crash error hotel investigation news pilot resulted rt sea sierra south usni,15,us_military,,12,56,neutral,,0
5140,5556223,697572,tweet,,Philippine Coast Guard reports 44 Chinese warships surrounding local island https://t.co/CcQ0kMJP1P,,1678215453,Twitter,,chinese coast guard island local philippine reports surrounding warships,9,us_military,,20,15,opposing,,0
1450,4340427,75607,retweet,f1dbd3c8c9020d3f2cb57d481be09b37118f598bc7a56d1ab7b3b3bc4a0cbdd4,RT @Dimi US and Philippine forces sink warship in South China Sea exercises in signal to Beijing https://t.co/bLY3JAnniY,,1682553115,Twitter,,beijing china exercises forces philippine rt sea signal sink south warship,11,us_military,,26,10,supportive,,0
4166,5692085,10935,retweet,b266d795538d64437a81e084f1044961d30b3d74d711cd13b71ac40d23bf0fb8,"RT @radyopilipinas1 The Philippine military has not let the country down despite tremendous challenges, President Ferdinand R. Marcos Jr. said on Thursday as he issued new orders to the 9th Infantry Division in the Bicol Region. Read: https://t.co/Uqlftbogrd https://t.co/gs30UztCcO",,1679150403,Twitter,,9th bicol challenges country division ferdinand infantry issued jr marcos military orders philippine president read region rt thursday tremendous,19,us_military,,14,45,supportive,,0
1539,2646579,300926,retweet,d768272acd3088b7c7aed28f366ff533efb089c1056d02f87682211deb6278f3,RT @USPacificFleet It's #LiveFireFriday! 🚀 USS Shiloh (CG 67) fires a standard missile during a live-fire exercise in the Philippine Sea late last month. You can read more about why here: https://t.co/jgZGMqoYfL @US7thFleet @INDOPACOM @SurfaceWarriors https://t.co/F7mckMTFwe,,1676073387,Twitter,,67 cg exercise fire fires late live missile month philippine read rt sea shiloh standard uss,16,us_military,,15,15,neutral,,0
1415,514193,250941,retweet,1d852778fb7d420893442e7d6aceba58e9840b30fdb731398365676929fbc798,"RT @Apex_WW Chinese Warship, Cutter Violate Pag-asa Island Territorial Sea, Says Philippine Coast Guard https://t.co/ZRHt3zkkm3",,1678138810,Twitter,,asa chinese coast cutter guard island pag philippine rt sea territorial violate warship,13,us_military,,12,29,opposing,,0
